track_id;track_name;query
0017A6SJgTbfQVU2EtsPNo;"Pangarap";"ang iyong mga ngiti na sa akin ay"
004s3t0ONYlzxII9PLgU6z;"I Feel Alive";"and at 6 i kissed your lips and"
00chLpzhgVjxs1zKC9UScL;"Poison";"night i played the wall checkin out the fellas the"
00cqd6ZsSkLZqGMlQCR0Zo;"Baby It's Cold Outside (feat. Christina Aguilera)";"you see how can you do this thing to me theres bound to"
00emjlCv9azBN0fzuuyLqy;"Dumb Litty";"a thing 욕을 하는 이윤 다"
00f9VGHfQhAHMCQ2bSjg3D;"Soldier";"but ill fight through our darkest of days"
00FROhC5g4iJdax5US8jRr;"Satisfy You";"for you cause i simply adore"
00GfGwzlSB8DoA0cDP2Eit;"Tender Lover";"go love has no limit if you believe in love itll open up so"
00Gu3RMpDW2vO9PjlMVFDL;"Hide Away (feat. Envy Monroe)";"be your hideaway we our lovers til the"
00GxbkrW4m1Tac5xySEJ4M;"Ti volevo dedicare (feat. J-AX & Boomdabash)";"il conto delle ore ti volevo dedicare quello che provo e non"
00hdjyXt6MohKnCyDmhxOL;"Una Vaina Loca";"he sentido nada como eto en mi vida ella"
00HIh9mVUQQAycsQiciWsh;"Limestone";"take till you grow tired hunting for the one that got away"
00i0O74dXdaKKdCrqHnfXm;"La Mordidita";"destila tequila y miel si dios puso la manzana"
00i2HU7TEzzftShjRrDSEF;"Changes";"kill each other it takes skill to be real time to heal each"
00Ia46AgCNfnXjzgH8PIKH;"Latina (feat. Maluma)";"más bella más fina hay más feelin más dura y más"
00ITtxUozN0vifE2uYvtqn;"Let Me Entertain You - Remastered 2011";"you if you wanna see some action you get nothing but the"
00LfFm08VWeZwB0Zlm24AT;"Suga Suga";"feeling so gifted sugar how you get"
00lNx0OcTJrS3MKHcB80HY;"You Don't Know Me - Radio Edit";"like you know me nana"
00NAQYOP4AmWR549nnYJZu;"Secrets";"i hear the secrets that you keep keep keep when"
00nvL9u5K8jEJ6TSxGdtPK;"Me Enamoré";"pero tengo que confesarteque me muero por besarte me tienes loco y no"
